n,tiempo,tipo_complejidad
0,1,O(2^n)
0.1,1.04138,O(2^n)
0.2,1.08447,O(2^n)
0.3,1.12935,O(2^n)
0.4,1.17608,O(2^n)
0.5,1.22474,O(2^n)
0.6,1.27542,O(2^n)
0.7,1.3282,O(2^n)
0.8,1.38316,O(2^n)
0.9,1.4404,O(2^n)
1,1.5,O(2^n)
1.1,1.56207,O(2^n)
1.2,1.62671,O(2^n)
1.3,1.69402,O(2^n)
1.4,1.76412,O(2^n)
1.5,1.83712,O(2^n)
1.6,1.91314,O(2^n)
1.7,1.9923,O(2^n)
1.8,2.07474,O(2^n)
1.9,2.1606,O(2^n)
2,2.25,O(2^n)
2.1,2.3431,O(2^n)
2.2,2.44006,O(2^n)
2.3,2.54103,O(2^n)
2.4,2.64618,O(2^n)
2.5,2.75568,O(2^n)
2.6,2.86971,O(2^n)
2.7,2.98845,O(2^n)
2.8,3.11211,O(2^n)
2.9,3.24089,O(2^n)
3,3.375,O(2^n)
3.1,3.51466,O(2^n)
3.2,3.66009,O(2^n)
3.3,3.81155,O(2^n)
3.4,3.96927,O(2^n)
3.5,4.13351,O(2^n)
3.6,4.30456,O(2^n)
3.7,4.48268,O(2^n)
3.8,4.66817,O(2^n)
3.9,4.86134,O(2^n)
4,5.0625,O(2^n)
4.1,5.27198,O(2^n)
4.2,5.49014,O(2^n)
4.3,5.71732,O(2^n)
4.4,5.9539,O(2^n)
4.5,6.20027,O(2^n)
4.6,6.45684,O(2^n)
4.7,6.72402,O(2^n)
4.8,7.00226,O(2^n)
4.9,7.29201,O(2^n)
5,7.59375,O(2^n)
5.1,7.90798,O(2^n)
5.2,8.23521,O(2^n)
5.3,8.57598,O(2^n)
5.4,8.93085,O(2^n)
5.5,9.30041,O(2^n)
5.6,9.68525,O(2^n)
5.7,10.086,O(2^n)
5.8,10.5034,O(2^n)
5.9,10.938,O(2^n)
6,11.3906,O(2^n)
6.1,11.862,O(2^n)
6.2,12.3528,O(2^n)
6.3,12.864,O(2^n)
6.4,13.3963,O(2^n)
6.5,13.9506,O(2^n)
6.6,14.5279,O(2^n)
6.7,15.129,O(2^n)
6.8,15.7551,O(2^n)
6.9,16.407,O(2^n)
7,17.0859,O(2^n)
7.1,17.7929,O(2^n)
7.2,18.5292,O(2^n)
7.3,19.296,O(2^n)
7.4,20.0944,O(2^n)
7.5,20.9259,O(2^n)
7.6,21.7918,O(2^n)
7.7,22.6936,O(2^n)
7.8,23.6326,O(2^n)
7.9,24.6105,O(2^n)
8,25.6289,O(2^n)
8.1,26.6894,O(2^n)
8.2,27.7938,O(2^n)
8.3,28.9439,O(2^n)
8.4,30.1416,O(2^n)
8.5,31.3889,O(2^n)
8.6,32.6877,O(2^n)
8.7,34.0403,O(2^n)
8.8,35.4489,O(2^n)
8.9,36.9158,O(2^n)
9,38.4434,O(2^n)
9.1,40.0341,O(2^n)
9.2,41.6907,O(2^n)
9.3,43.4159,O(2^n)
9.4,45.2124,O(2^n)
9.5,47.0833,O(2^n)
9.6,49.0316,O(2^n)
9.7,51.0605,O(2^n)
9.8,53.1734,O(2^n)
9.9,55.3737,O(2^n)
10,57.665,O(2^n)
