n,tiempo,tipo_complejidad
0,0,O(n)
0.1,0.1,O(n)
0.2,0.2,O(n)
0.3,0.3,O(n)
0.4,0.4,O(n)
0.5,0.5,O(n)
0.6,0.6,O(n)
0.7,0.7,O(n)
0.8,0.8,O(n)
0.9,0.9,O(n)
1,1,O(n)
1.1,1.1,O(n)
1.2,1.2,O(n)
1.3,1.3,O(n)
1.4,1.4,O(n)
1.5,1.5,O(n)
1.6,1.6,O(n)
1.7,1.7,O(n)
1.8,1.8,O(n)
1.9,1.9,O(n)
2,2,O(n)
2.1,2.1,O(n)
2.2,2.2,O(n)
2.3,2.3,O(n)
2.4,2.4,O(n)
2.5,2.5,O(n)
2.6,2.6,O(n)
2.7,2.7,O(n)
2.8,2.8,O(n)
2.9,2.9,O(n)
3,3,O(n)
3.1,3.1,O(n)
3.2,3.2,O(n)
3.3,3.3,O(n)
3.4,3.4,O(n)
3.5,3.5,O(n)
3.6,3.6,O(n)
3.7,3.7,O(n)
3.8,3.8,O(n)
3.9,3.9,O(n)
4,4,O(n)
4.1,4.1,O(n)
4.2,4.2,O(n)
4.3,4.3,O(n)
4.4,4.4,O(n)
4.5,4.5,O(n)
4.6,4.6,O(n)
4.7,4.7,O(n)
4.8,4.8,O(n)
4.9,4.9,O(n)
5,5,O(n)
5.1,5.1,O(n)
5.2,5.2,O(n)
5.3,5.3,O(n)
5.4,5.4,O(n)
5.5,5.5,O(n)
5.6,5.6,O(n)
5.7,5.7,O(n)
5.8,5.8,O(n)
5.9,5.9,O(n)
6,6,O(n)
6.1,6.1,O(n)
6.2,6.2,O(n)
6.3,6.3,O(n)
6.4,6.4,O(n)
6.5,6.5,O(n)
6.6,6.6,O(n)
6.7,6.7,O(n)
6.8,6.8,O(n)
6.9,6.9,O(n)
7,7,O(n)
7.1,7.1,O(n)
7.2,7.2,O(n)
7.3,7.3,O(n)
7.4,7.4,O(n)
7.5,7.5,O(n)
7.6,7.6,O(n)
7.7,7.7,O(n)
7.8,7.8,O(n)
7.9,7.9,O(n)
8,8,O(n)
8.1,8.1,O(n)
8.2,8.2,O(n)
8.3,8.3,O(n)
8.4,8.4,O(n)
8.5,8.5,O(n)
8.6,8.6,O(n)
8.7,8.7,O(n)
8.8,8.8,O(n)
8.9,8.9,O(n)
9,9,O(n)
9.1,9.1,O(n)
9.2,9.2,O(n)
9.3,9.3,O(n)
9.4,9.4,O(n)
9.5,9.5,O(n)
9.6,9.6,O(n)
9.7,9.7,O(n)
9.8,9.8,O(n)
9.9,9.9,O(n)
10,10,O(n)
