n,tiempo,tipo_complejidad
0,0,O(n^2)
0.1,0.01,O(n^2)
0.2,0.04,O(n^2)
0.3,0.09,O(n^2)
0.4,0.16,O(n^2)
0.5,0.25,O(n^2)
0.6,0.36,O(n^2)
0.7,0.49,O(n^2)
0.8,0.64,O(n^2)
0.9,0.81,O(n^2)
1,1,O(n^2)
1.1,1.21,O(n^2)
1.2,1.44,O(n^2)
1.3,1.69,O(n^2)
1.4,1.96,O(n^2)
1.5,2.25,O(n^2)
1.6,2.56,O(n^2)
1.7,2.89,O(n^2)
1.8,3.24,O(n^2)
1.9,3.61,O(n^2)
2,4,O(n^2)
2.1,4.41,O(n^2)
2.2,4.84,O(n^2)
2.3,5.29,O(n^2)
2.4,5.76,O(n^2)
2.5,6.25,O(n^2)
2.6,6.76,O(n^2)
2.7,7.29,O(n^2)
2.8,7.84,O(n^2)
2.9,8.41,O(n^2)
3,9,O(n^2)
3.1,9.61,O(n^2)
3.2,10.24,O(n^2)
3.3,10.89,O(n^2)
3.4,11.56,O(n^2)
3.5,12.25,O(n^2)
3.6,12.96,O(n^2)
3.7,13.69,O(n^2)
3.8,14.44,O(n^2)
3.9,15.21,O(n^2)
4,16,O(n^2)
4.1,16.81,O(n^2)
4.2,17.64,O(n^2)
4.3,18.49,O(n^2)
4.4,19.36,O(n^2)
4.5,20.25,O(n^2)
4.6,21.16,O(n^2)
4.7,22.09,O(n^2)
4.8,23.04,O(n^2)
4.9,24.01,O(n^2)
5,25,O(n^2)
5.1,26.01,O(n^2)
5.2,27.04,O(n^2)
5.3,28.09,O(n^2)
5.4,29.16,O(n^2)
5.5,30.25,O(n^2)
5.6,31.36,O(n^2)
5.7,32.49,O(n^2)
5.8,33.64,O(n^2)
5.9,34.81,O(n^2)
6,36,O(n^2)
6.1,37.21,O(n^2)
6.2,38.44,O(n^2)
6.3,39.69,O(n^2)
6.4,40.96,O(n^2)
6.5,42.25,O(n^2)
6.6,43.56,O(n^2)
6.7,44.89,O(n^2)
6.8,46.24,O(n^2)
6.9,47.61,O(n^2)
7,49,O(n^2)
7.1,50.41,O(n^2)
7.2,51.84,O(n^2)
7.3,53.29,O(n^2)
7.4,54.76,O(n^2)
7.5,56.25,O(n^2)
7.6,57.76,O(n^2)
7.7,59.29,O(n^2)
7.8,60.84,O(n^2)
7.9,62.41,O(n^2)
8,64,O(n^2)
8.1,65.61,O(n^2)
8.2,67.24,O(n^2)
8.3,68.89,O(n^2)
8.4,70.56,O(n^2)
8.5,72.25,O(n^2)
8.6,73.96,O(n^2)
8.7,75.69,O(n^2)
8.8,77.44,O(n^2)
8.9,79.21,O(n^2)
9,81,O(n^2)
9.1,82.81,O(n^2)
9.2,84.64,O(n^2)
9.3,86.49,O(n^2)
9.4,88.36,O(n^2)
9.5,90.25,O(n^2)
9.6,92.16,O(n^2)
9.7,94.09,O(n^2)
9.8,96.04,O(n^2)
9.9,98.01,O(n^2)
10,100,O(n^2)
