n,tiempo,tipo_complejidad
0,0,O(n log n)
0.1,0.0137504,O(n log n)
0.2,0.0526069,O(n log n)
0.3,0.113553,O(n log n)
0.4,0.194171,O(n log n)
0.5,0.292481,O(n log n)
0.6,0.406843,O(n log n)
0.7,0.535874,O(n log n)
0.8,0.678398,O(n log n)
0.9,0.833399,O(n log n)
1,1,O(n log n)
1.1,1.17743,O(n log n)
1.2,1.365,O(n log n)
1.3,1.56212,O(n log n)
1.4,1.76825,O(n log n)
1.5,1.98289,O(n log n)
1.6,2.20562,O(n log n)
1.7,2.43603,O(n log n)
1.8,2.67377,O(n log n)
1.9,2.9185,O(n log n)
2,3.16993,O(n log n)
2.1,3.42776,O(n log n)
2.2,3.69176,O(n log n)
2.3,3.96167,O(n log n)
2.4,4.23728,O(n log n)
2.5,4.51839,O(n log n)
2.6,4.80479,O(n log n)
2.7,5.09632,O(n log n)
2.8,5.3928,O(n log n)
2.9,5.69407,O(n log n)
3,6,O(n log n)
3.1,6.31043,O(n log n)
3.2,6.62525,O(n log n)
3.3,6.94431,O(n log n)
3.4,7.26751,O(n log n)
3.5,7.59474,O(n log n)
3.6,7.92588,O(n log n)
3.7,8.26084,O(n log n)
3.8,8.59953,O(n log n)
3.9,8.94185,O(n log n)
4,9.28771,O(n log n)
4.1,9.63704,O(n log n)
4.2,9.98975,O(n log n)
4.3,10.3458,O(n log n)
4.4,10.705,O(n log n)
4.5,11.0674,O(n log n)
4.6,11.433,O(n log n)
4.7,11.8015,O(n log n)
4.8,12.1731,O(n log n)
4.9,12.5475,O(n log n)
5,12.9248,O(n log n)
5.1,13.3049,O(n log n)
5.2,13.6878,O(n log n)
5.3,14.0734,O(n log n)
5.4,14.4616,O(n log n)
5.5,14.8524,O(n log n)
5.6,15.2458,O(n log n)
5.7,15.6417,O(n log n)
5.8,16.0401,O(n log n)
5.9,16.4409,O(n log n)
6,16.8441,O(n log n)
6.1,17.2497,O(n log n)
6.2,17.6576,O(n log n)
6.3,18.0677,O(n log n)
6.4,18.4802,O(n log n)
6.5,18.8948,O(n log n)
6.6,19.3116,O(n log n)
6.7,19.7306,O(n log n)
6.8,20.1516,O(n log n)
6.9,20.5748,O(n log n)
7,21,O(n log n)
7.1,21.4272,O(n log n)
7.2,21.8565,O(n log n)
7.3,22.2877,O(n log n)
7.4,22.7209,O(n log n)
7.5,23.156,O(n log n)
7.6,23.593,O(n log n)
7.7,24.0318,O(n log n)
7.8,24.4725,O(n log n)
7.9,24.9151,O(n log n)
8,25.3594,O(n log n)
8.1,25.8055,O(n log n)
8.2,26.2534,O(n log n)
8.3,26.703,O(n log n)
8.4,27.1544,O(n log n)
8.5,27.6074,O(n log n)
8.6,28.0621,O(n log n)
8.7,28.5185,O(n log n)
8.8,28.9765,O(n log n)
8.9,29.4361,O(n log n)
9,29.8974,O(n log n)
9.1,30.3602,O(n log n)
9.2,30.8246,O(n log n)
9.3,31.2905,O(n log n)
9.4,31.758,O(n log n)
9.5,32.227,O(n log n)
9.6,32.6975,O(n log n)
9.7,33.1695,O(n log n)
9.8,33.643,O(n log n)
9.9,34.1179,O(n log n)
10,34.5943,O(n log n)
